chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/114/senate/committees/SSJU.json,2015-01-22,10:00:00,SD-226,"Organizational business meeting to consider an original resolution authorizing expenditures by the committee during the 114th Congress, subcommittee assignments, committee rules of procedure, and the nominations of Michael Greco, to be United States Marshal for the Southern District of New York, and Ronald Lee Miller, to be United States Marshal for the District of Kansas, both of the Department of Justice, Michael P. Botticelli, of the District of Columbia, to be Director of National Drug Control Policy, and Jeanne E. Davidson, of Maryland, to be a Judge of the United States Court of International Trade.",n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/114/senate/committees/SSAS.json,2015-01-22,09:30:00,SVC-217,To receive a closed briefing on training and equipping the vetted Syrian opposition.,n/a,,
Senate,Committee on Environment and Public Works,SSEV,https://api.propublica.org/congress/v1/114/senate/committees/SSEV.json,2015-01-22,09:30:00,TBA,"Organizational business meeting to continue consideration of an original resolution authorizing expenditures by the committee during the 114th Congress, and committee rules of procedure.",n/a,,
Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/114/senate/committees/SSFR.json,2015-01-22,09:30:00,SD-419,"Hearings to examine Iran nuclear negotiations, focusing on the status of talks and the role of Congress.",n/a,,
Senate,Committee on Energy and Natural Resources,SSEG,https://api.propublica.org/congress/v1/114/senate/committees/SSEG.json,2015-01-22,09:30:00,SD-366,Organizational business meeting to consider an original resolution authorizing expenditures by the committee during the 114th Congress.,n/a,,
Senate,"Committee on Health, Education, Labor, and Pensions",SSHR,https://api.propublica.org/congress/v1/114/senate/committees/SSHR.json,2015-01-22,09:30:00,SD-430,Hearings to examine job-based health insurance and defining full-time work.,n/a,,
Senate,"Committee on Commerce, Science, and Transportation",SSCM,https://api.propublica.org/congress/v1/114/senate/committees/SSCM.json,2015-01-21,14:30:00,SR-253,Hearings to examine protecting the Internet and consumers through congressional action.,n/a,,
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/114/senate/committees/SSJU.json,2015-01-21,14:30:00,SD-226,"Hearings to examine the nominations of Michelle K. Lee, of California, to be Under Secretary of Commerce for Intellectual Property and Director of the United States Patent and Trademark Office, Daniel Henry Marti, of Virginia, to be Intellectual Property Enforcement Coordinator, Executive Office of the President, Alfred H. Bennett, George C. Hanks, Jr., and Jose Rolando Olvera, Jr., all to be a United States District Judge for the Southern District of Texas, and Jill N. Parrish, to be United States District Judge for the District of Utah.",n/a,,
Senate,Committee on Environment and Public Works,SSEV,https://api.propublica.org/congress/v1/114/senate/committees/SSEV.json,2015-01-21,10:30:00,SD-406,"Organizational business meeting to consider an original resolution authorizing expenditures by the committee during the 114th Congress, and committee rules of procedure.",n/a,,
Senate,"Committee on Health, Education, Labor, and Pensions",SSHR,https://api.propublica.org/congress/v1/114/senate/committees/SSHR.json,2015-01-21,10:00:00,SD-430,"Hearings to examine fixing No Child Left Behind, focusing on testing and accountability.",n/a,,
Senate,Committee on Veterans&#39; Affairs,SSVA,https://api.propublica.org/congress/v1/114/senate/committees/SSVA.json,2015-01-21,10:00:00,SR-418,"Organizational business meeting to consider an original resolution authorizing expenditures by the committee during the 114th Congress, committee rules of procedure, and H.R.203, to direct the Secretary of Veterans Affairs to provide for the conduct of annual evaluations of mental health care and suicide prevention programs of the Department of Veterans Affairs, to require a pilot program on loan repayment for psychiatrists who agree to serve in the Veterans Health Administration of the Department of Veterans Affairs.",n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/114/senate/committees/SSAS.json,2015-01-21,09:30:00,SH-216,Hearings to examine global challenges and United States national security strategy.,n/a,,
Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/114/senate/committees/SSFR.json,2015-01-21,09:30:00,SD-419,"Hearings to examine Iran nuclear negotiations, focusing on the status of talks and the role of Congress.",n/a,,
Senate,"Committee on Health, Education, Labor, and Pensions",SSHR,https://api.propublica.org/congress/v1/114/senate/committees/SSHR.json,2015-01-21,09:30:00,SD-430,"Hearings to examine No Child Left Behind, focusing on testing and accountability.",n/a,,
Senate,"Committee on Commerce, Science, and Transportation",SSCM,https://api.propublica.org/congress/v1/114/senate/committees/SSCM.json,2015-01-20,14:30:00,SR-253,"Organizational business meeting to consider committee rules of procedure, and an original resolution authorizing expenditures by the committee during the 114th Congress.",n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/114/senate/committees/SLIN.json,2015-01-20,14:30:00,SH-219,To receive a closed briefing on certain intelligence matters.,n/a,,
Senate,"Committee on Banking, Housing, and Urban Affairs",SSBK,https://api.propublica.org/congress/v1/114/senate/committees/SSBK.json,2015-01-20,10:00:00,SD-538,Hearings to examine perspectives on the strategic necessity of Iran sanctions.,n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/114/senate/committees/SSAS.json,2015-01-13,14:30:00,SD-G50,Hearings to examine global challenges and United States national security strategy.,n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/114/senate/committees/SLIN.json,2015-01-13,14:30:00,SH-219,To receive a closed briefing on certain intelligence matters.,n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/114/senate/committees/SLIN.json,2015-01-13,14:00:00,SH-219,To receive a closed briefing on certain intelligence matters.,n/a,,
Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/114/senate/committees/SSFR.json,2015-01-13,10:00:00,SD-419,"Hearings to examine articulating the case for American leadership in the world, focusing on the national interest.",n/a,,
